UF;CASOS
MG;134
MG;323
MG;5670
MG;7333
MG;345
MG;549
MG;539
MG;540
MG;327
MG;4066
MG;404
MG;173
MS;2217
MS;311
MS;2929
MS;2256
MS;484
MS;1172
MS;476
MS;3330
MS;4889
MS;498
MS;549
MS;2992
MS;993
MS;942
MS;447
MS;2847
MS;1076
MS;3878
MS;781
MS;112426
MS;347
MS;2677
MS;3787
MS;229
MS;928
MS;14264
MS;2895
MS;3576
MS;1749
MS;979
MS;593
MS;34885
MS;1248
MS;2667
MS;153
MS;1139
MS;849
MS;862
MS;944
MS;1874
MS;2011
MS;4028
MS;198
MS;247
MS;1701
MS;449
MS;603
MS;2597
MS;560
MS;5598
MS;2654
MS;2160
MS;8680
MS;978
MS;2031
MS;3474
MS;402
MS;371
MS;4084
MS;491
MS;567
MS;8817
MS;1284
MS;1828
MS;4638
MS;459
MS;1985
MS;371
MS;499
MS;3687
MS;506
MS;682
MS;4957
MS;1354
MS;714
MS;256
MS;1565
MS;17113
MS;884
MT;484
MT;2772
MT;8279
MT;1163
MT;742
MT;848
MT;855
MT;1415
MT;1691
MT;261
MT;25
MT;1903
MT;1683
MT;2693
MT;356
MT;2866
MT;7801
MT;991
MT;1922
MT;9359
MT;1265
MT;6433
MT;5596
MT;991
MT;380
MT;2833
MT;1804
MT;562
MT;1647
MT;1549
MT;624
MT;5093
MT;2130
MT;1703
MT;3329
MT;431
MT;974
MT;90308
MT;285
MT;569
MT;2554
MT;547
MT;1684
MT;304
MT;943
MT;651
MT;322
MT;3713
MT;259
MT;216
MT;1093
MT;618
MT;774
MT;558
MT;3048
MT;532
MT;660
MT;4380
MT;3612
MT;1311
MT;1187
MT;627
MT;13308
MT;123
MT;1561
MT;2116
MT;3380
MT;1658
MT;797
MT;1009
MT;668
MT;312
MT;1229
MT;890
MT;7402
MT;295
MT;1383
MT;519
MT;575
MT;2753
MT;433
MT;791
MT;278
MT;477
MT;2441
MT;2930
MT;1744
MT;2526
PA;8716
PA;943
PA;1306
PA;2966
PA;1096
PA;3296
PA;3517
PA;13313
PA;1347
PA;23511
PA;1519
PA;1990
PA;1473
PA;630
PA;910
PA;737
PA;641
PA;11005
PA;101799
PA;1423
PA;3853
PA;759
PA;381
PA;3968
PA;1846
PA;791
PA;757
PA;4012
PA;1394
PA;492
PA;864
PA;8669
PA;8238
PA;3322
PA;2065
PA;8014
PA;504
PA;512
PA;3801
PA;2494
PA;781
PA;2379
PA;565
PA;1844
PA;2173
PA;1882
PA;570
PA;1100
