estado;casos
Minas Gerais;2334
Minas Gerais;2346
Minas Gerais;1331
Minas Gerais;352
Minas Gerais;1006
Minas Gerais;157
Minas Gerais;56
Minas Gerais;420
Minas Gerais;1158
Minas Gerais;294
Minas Gerais;7694
Minas Gerais;87
Minas Gerais;191
Minas Gerais;176
Minas Gerais;485
Minas Gerais;954
Minas Gerais;117
Minas Gerais;431
Minas Gerais;1050
Minas Gerais;288
Minas Gerais;8558
Minas Gerais;228
Minas Gerais;234
Minas Gerais;120
Minas Gerais;125
Minas Gerais;152
Minas Gerais;865
Minas Gerais;215
Minas Gerais;529
Minas Gerais;667
Minas Gerais;124
Minas Gerais;1714
Minas Gerais;285
Minas Gerais;113
Minas Gerais;6614
Minas Gerais;209
Minas Gerais;481
Minas Gerais;281
Minas Gerais;147
Minas Gerais;208
Minas Gerais;279
Minas Gerais;257
Minas Gerais;355
Minas Gerais;556
Minas Gerais;26999
Minas Gerais;591
Minas Gerais;85
Minas Gerais;2699
Minas Gerais;904
Minas Gerais;549
Minas Gerais;163
Minas Gerais;1439
Minas Gerais;833
Minas Gerais;523
Minas Gerais;566
Minas Gerais;4916
Minas Gerais;689
Minas Gerais;886
Minas Gerais;753
Minas Gerais;260
Minas Gerais;506
Minas Gerais;842
Minas Gerais;200
Minas Gerais;2094
Minas Gerais;281
Minas Gerais;189
Minas Gerais;874
Minas Gerais;8555
Minas Gerais;445
Minas Gerais;279
Minas Gerais;267
Minas Gerais;2578
Minas Gerais;865
Minas Gerais;504
Minas Gerais;345
Minas Gerais;700
Minas Gerais;297
Minas Gerais;414
Minas Gerais;250
Minas Gerais;557
Minas Gerais;139
Minas Gerais;1918
Minas Gerais;637
Minas Gerais;511
Minas Gerais;1710
Minas Gerais;2551
Minas Gerais;30094
Minas Gerais;352
Minas Gerais;1229
Minas Gerais;697
Minas Gerais;18087
Minas Gerais;1064
Minas Gerais;11732
Minas Gerais;140
Minas Gerais;502
Minas Gerais;1821
Minas Gerais;360
Minas Gerais;8415
Minas Gerais;1342
Minas Gerais;429
Minas Gerais;746
Minas Gerais;106
Minas Gerais;1073
Minas Gerais;1925
Minas Gerais;2110
Minas Gerais;746
Minas Gerais;1537
Minas Gerais;1514
Minas Gerais;1300
Minas Gerais;1532
Minas Gerais;564
Minas Gerais;1891
Minas Gerais;10608
Minas Gerais;93
Minas Gerais;255
Minas Gerais;1023
Minas Gerais;12633
Minas Gerais;218
Minas Gerais;4825
Minas Gerais;135
Minas Gerais;1556
Minas Gerais;958
Minas Gerais;787
Minas Gerais;2006
Minas Gerais;413
Minas Gerais;2069
Minas Gerais;232
Minas Gerais;4503
Minas Gerais;2404
Minas Gerais;320
Minas Gerais;250
Minas Gerais;294
Minas Gerais;162
Minas Gerais;576
Minas Gerais;287
Minas Gerais;360
Minas Gerais;1417
Minas Gerais;236
Minas Gerais;983
Minas Gerais;363
Minas Gerais;7751
Minas Gerais;4150
Minas Gerais;278
Minas Gerais;923
Minas Gerais;74
Minas Gerais;251
Minas Gerais;414
Minas Gerais;2578
Minas Gerais;35156
Minas Gerais;168
Minas Gerais;1034
Minas Gerais;392
Minas Gerais;306
Minas Gerais;374
Minas Gerais;6195
Minas Gerais;68
Minas Gerais;757
Minas Gerais;1861
Minas Gerais;791
Minas Gerais;5285
Minas Gerais;2314
Minas Gerais;1527
Minas Gerais;101
Minas Gerais;626
Minas Gerais;383
Minas Gerais;7085
Minas Gerais;256
Minas Gerais;154
Minas Gerais;4848
Minas Gerais;204
Minas Gerais;793
Minas Gerais;954
Minas Gerais;425
Minas Gerais;324
Minas Gerais;142
Minas Gerais;86
Minas Gerais;1485
Minas Gerais;581
Minas Gerais;3821
Minas Gerais;513
Minas Gerais;1190
Minas Gerais;322
Minas Gerais;1381
Minas Gerais;6009
Minas Gerais;1629
Minas Gerais;3028
Minas Gerais;1097
Minas Gerais;443
Minas Gerais;896
Minas Gerais;8115
Minas Gerais;290
Minas Gerais;1103
Minas Gerais;296
Minas Gerais;344
Minas Gerais;128
Minas Gerais;1060
Minas Gerais;293
Minas Gerais;529
